I think you are now ready., neg,1
From the moment Link jumps off the elevated plateau serving as Breath of the Wild's disguised tutorial; every move forward is completely reliant on the player's instincts., neg,1
The sensation of freedom starts slowly; as you learn to forage the environment for new weapons and ingredients to survive combat with smaller enemies; building to teachable moments of failure., neg,0.8
Succumbing to the harsh conditions of a frigid mountain peak or engaging creatures that crush you in one hit are frustrating mistakes; but the opportunity to experiment within the world opens the door for a better understanding of the underlying systems., pos,1
Each and every impulse you may have while exploring Hyrule is respected and rewarded., neg,1
Treasure chests with powerful weapons are hidden within caves and high up on cliffs; and the layer of side quests to complete almost never ceases., pos,0.8
Before turning over full control; a short list of things that should be done eventually is presented; but never once does it impede you from steering the journey in another direction., neg,1
It would be easy to feel overwhelmed by the endless procession of collectible components; but just as easy to lose a dozen hours traveling between intersecting country roads and climbing high enough to enjoy every gorgeous vista., neg,1
Distractions are common in Breath of the Wild; naturally motivating the player to go and see something brand new., pos,0.6
Randomly occurring enemy behavior and weather patterns ensure that every player has a different experience within the game., neg,0.6
You may hold off on exploring a certain location because of your current equipment; but drinking the right elixir or simply approaching from a different direction allows the discovery of something unseen., pos,1
Previous Zelda games offered a similar illusion of choice when finding important items and filing sidequests; but maintained linearity when it came to the main draw of temples and dungeons., neg,1
The latest entry preserves the puzzle-solving challenges of its predecessors; but presents them in a brand new way., neg,0.8
There are more than 100 shrines scattered around; offering a single slice of the traditional platforming puzzles that rely on Link's special abilities and the player's intuition., neg,1
Shrines are sometimes surrounded by combat challenges and environmental barriers that have to be solved before access is given., neg,1
They serve as fast-travel beacons after they're cleared., neg,1
Characters encountered at villages can point you toward some of the more mysterious locations; and occasionally you might stumble into situations that reveal a new layer of intrigue; but almost every development depends on your capacity for curiosity., pos,0.6
A Studio Ghibli-inspired art style makes for gorgeous presentation that carries over to small environmental details and memorable characters' facial animations., pos,0.8
For the first time; important characters are given spoken dialogue with full voice acting., pos,1
Initially; it is surprising to hear Zora and Gorons speaking out loud; but most of the long speeches are saved for key story moments; adding gravitas to the hefty narrative., neg,1
Players are tasked with deciding in what order they want to tackle the storyline; or even if at all; before rushing toward the final boss., neg,1
With such a relaxed approach to progression; it may seem at first that the narrative has taken a backseat to polished gameplay., pos,1
However; the story told in Breath of the Wild takes a unique risk that pays off within the context of the most open-ended Zelda game yet., pos,1
There are many questions presented in the opening hours; and the answers rely on you stumbling across the vague clues hidden around Hyrule., neg,1
Breath of the Wild's only tangible constraint is how creative the player can be at any given moment., neg,0.8
The game is genuinely challenging; with secrets and rewards to be found around every corner., pos,1
As you play; the staggering amount of ways in which you can interact with Hyrule naturally reveal themselves., neg,1
There is always something new to discover; but at your own pace., neg,1
Somehow; the adventure never loses momentum over dozens of hours of exploration; the inspired design holds up; making for an unmistakable Zelda game that completely changes everything expected from the series., pos,1
After spending so much time with Breath of the Wild; it is already hard to imagine going back to the antiquated presentation of the past., neg,1
For many years; Nintendo simply didn't know what people wanted out of a Zelda game., neg,1
Originally Wind Waker was going to feature a traditional realistic art style; but the creators got worried that in the increasingly competitive market they wouldn't stand out -- so Toon Link was born., pos,1
It sold well but many fans reacted negatively to it at the time; causing them to shift back into realism with Twilight Princess; which; subsequently; people also didn't like; having finally come around to Wind Waker., neg,0.8
To some degree Skyward Sword tried to marry the two styles; but The Legend of Zelda: Breath of the Wild rights so many of the wrongs that game committed., pos,1
My relationship with the Zelda series is public record., neg,0.8
The original was one of my first adventure games outside of Dragon Warrior; and subsequently; each release has bookended a specific point of my life., pos,1
Yet; I don't care for a number of games in the franchise; especially the last two mainline Zeldas: Link Between Worlds and Skyward Sword., neg,1
It's a weird relationship; I know; and it's why I was so surprised that Breath of the Wild walks back a lot of the boring or bad strides respectively that the series has made lately., neg,1
There's a much bigger emphasis on your emotional connection to the world of Wild., neg,1
It embraces the timeline theory without being held hostage to it; or being too tongue-in-cheek and meta about it., pos,1
Wild has some depressing moments that fit and accent the level of desperation that usually comes with being the Hero of Hyrule., neg,1
Voice acting assists this emotional angle; and no; it's not overdone., neg,0.8
There's still plenty of hooos and haaahs; when speaking to NPCs -- that adorable gibberish talk is alive and well., pos,1
Thematically; the effort to turn it into a far future-type Zelda while still remaining true to the adventurous medieval roots is admirable., pos,1
As more threads start to unravel; the narrative never feels overbearing and doesn't overstay its welcome., neg,1
I can't tell you how many times other games have done this; where it feels like I'm stuck in one boring town or area while folks barricade the gate and yell you can't leave yet; your business isn't finished!, neg,1
Which leads me to Breath of the Wild's most paramount virtue: freedom., neg,0.6
While the first hour (or much less if you know what you're doing) is technically a tutorial zone of sorts; you're given a gigantic land mass to play around in; where the game proceeds to hand out most of your abilities -- then sends you on your merry way to the true open world with no strings attached., pos,0.6
It beats the crap out of wrestling farm animals for an hour., neg,1
Wait; what?, neg,1
Most of your abilities?, neg,1
Yep., neg,1
I know what you're thinking., neg,1
What about the tried-and-true Zelda formula where you enter x dungeon and get x item?, neg,1
Well; that's thankfully gone; as much as I've enjoyed it in the past., pos,1
A Link Between Worlds dabbled in this concept with item renting; but Breath of the Wild blows the doors off that idea with an amplifier that goes to 11; jumps off the stage; and crowd surfs., neg,1
You do accrue mostly combat spells of sorts from clearing each core dungeon (there's four; with an optional fifth that grants no powers); but for the most part; you're equipped with the following Runes -- two different kinds of bombs (round and cubed); a glider; stasis; a giant magnet; a camera; an amiibo summoner; and a spell that creates blocks of ice in water -- all governed by a cooldown timer., neg,0.6
While I won't spoil how all of these spells work; suffice to say there are multiple uses for them; and new scenarios that Breath of the Wild keeps chucking at you at a rapid pace., pos,0.8
Even if you think you know how bombs have worked (or have always operated within the confines of the series); there's usually a surprise waiting for you at the next shrine (read: small challenge rooms littered about the overworld)., neg,0.6
Initially; I felt underwhelmed that Nintendo went this route., pos,0.6
I kept thinking that I had missed a few abilities early on; as I would enter shrines and have no conceivable way of completing them., neg,1
But I was wrong., neg,1
Hours later I entered my first dungeon; and was able to use an item I had picked up in the first 15 minutes to solve a puzzle in a way I didn't even think to try previously., pos,1
I went back to that pesky shrine and cleared it with a smile on my face., pos,1
This is how open world games should work., pos,1
Not with and overabundance of checklists and millions of map icons to clear for achievement points -- but with a design that feels legitimately interconnected and fluid in an all-encompassing way., pos,1
Breath of the Wild isn't just open in the sense that you can roam around., pos,1
It has more RPG elements than any game in the series; with a litany of gear and items to find., neg,1
The scale is so massive that over 60 hours in; I'm still discovering new ingredients to cook with items I've never seen before., pos,0.6
With a dedicated jump button (hi Adventure of Link) you can climb up just about any mountain and leap off the top (one of my favorite pastimes)., pos,1
Seeing fast travel and radio towers come to a Nintendo game is a little weird; but they own it; and naturally; are host to their own little puzzles., neg,1
Nothing; even the few borrowed concepts; are half-measures., neg,1
It's hard to convey just how free Breath of the Wild feels on paper., neg,1
Once I spent half an hour chopping down trees; and I had no idea what I could even use the wood for., neg,1
I pulled out a real pen and paper and jotted down recipes I had discovered; and experimented for another 30 minutes to find the perfect concoction., pos,1
I pulled up the in-game map and stamped areas I wanted to return to later; even if they weren't hosting any specific quest or reward., pos,1
Many times I entered an area by way of an alternative puzzle solution; and not the primary method the designers perhaps intended for me., pos,1
The dungeons; which I suspect will be a point of contention from folks who want everything to stay the same (I can see the thinkpieces in my head); also encapsulate this philosophy., neg,1
They're much more compact; and are almost exclusively based on puzzle-solving outside of the final encounter., pos,1
There's no bide time until you get the hookshot and then use it to solve every puzzle the rest of the dungeon formula -- you're using everything you picked up at the start; which includes the aforementioned multi-use array of puzzle-solving tools., neg,1
Fi isn't there to ruin the solution., neg,1
There's no forced tutorial section directly after you defeat a miniboss and pick up the new dungeon item., neg,1
The dungeons feel like an extension of the open world itself; as do the shrines., pos,0.8
Everything funnels back into every other aspect of Breath of the Wild in a deliberate fashion., neg,1
You aren't just earning new Heart Containers or pieces of loot; you're acquiring knowledge., neg,0.8
By the end of the game I felt like a superhero; and traveled across the world in search of shrines to complete., neg,1
A world; mind; that's mostly stable., neg,1
There are some framerate drops; even on TV mode; in several areas., neg,1
I have a feeling people are going to be up in arms about it; but for me it didn't occur often enough to truly have an impact on my fun., pos,1
That's because I care more about the draw distance honestly; which is so well done that it hits that chord of I see that place in the distance; and want to go there more than any game I've ever played., neg,1
While towers are usually just throwaway bits that unlock more map icons; I would frequently revisit them just to scout for new places to explore for the heck of it., neg,1
Combat is also simple enough where you aren't worrying about iFrames or precise rolling; so the occasional dip isn't as crippling as; say; a pure action game., pos,1
Motion controls for projectile aiming are also incredibly precise; and best of all -- optional., pos,1
There's some semblance of the advancements made on the Wii and Wii U; but they're not forced., neg,1
I love it!, pos,0.8
I thought I would hate juggling items with the new durability system; but it's fun to try all the different types of weapons., pos,1
Much like the game's puzzles you can approach combat in multiple ways; with stealth or item-based solutions; and the choice to wield an axe; staff; one-handed sword; magic wand; boomerang; or a bow play into that., pos,1
I thought the Joy-Con Grip (which is basically two Joy-Con controllers slotted together) would feel underwhelming too; but I got used to it in less than an hour., neg,1
Equipment selection is handled with the sectioned d-pad like C-Buttons; and the motion controls work great., pos,0.6
As an aside I did not have access to a Pro Controller for this review; but will have one going forward after I buy one when the game officially launches., neg,1
By the time the credits rolled (and I was back outside of the final fight with a star next to my save file; New Game+ style); I was about 40 hours deep., pos,0.8
But there's over 100 shrines to find; several superbosses to fight; hidden gear to locate; and optional mini-questlines; so I'm going to be busy for a while longer., neg,1
Speaking of extras -- in case you're wondering; the amiibo support is mostly harmless., neg,1
You get some extra items you can otherwise find in the game; or some Easter egg type stuff that isn't overpowered (you can find armor in the first few hours that is better than most of the figure boosts)., neg,0.8
The Wolf Link companion does feel like a massive thing in the form of a bite-sized paid piece of DLC; but I don't feel like it was necessarily cut., neg,1
A massive 100 hour or more adventure makes this choice easier to digest., pos,0.8
If the figures were scarce I'd be angry; but they're widely available., pos,1
The Legend of Zelda: Breath of the Wild has very little wrong with it., neg,1
There's the occasional framerate drop; a short stealth sequence; another short escort bit; and a few bosses that are fine; but aren't as memorable as they should be., pos,1
They're going to be the main talking points as folks break the game down over the course of the next year (and decade)., neg,1
But those moments were quickly erased from my mind given the rapid-fire pacing and promise of returning to the sprawling universe., pos,1
I flipped dungeons 360 degrees and walked on their ceilings; and never once was frustrated., neg,0.8
I found an island where a deity stripped me of my items and challenged me to solve various riddles so I could get my gear back., neg,1
I fought optional world bosses; explored labyrinths far off the beaten path; and gradually learned how to tame horses -- none of which are handed to you on a silver platter., neg,1
This isn't your typical boiler plate open world cash grab; rife with to-do lists and busywork., pos,1
Zelda: Breath of the Wild is an evolution of the formula for both eastern and western philosophies alike; and a new blueprint., pos,1
It isn't perfect; since nothing is; but came as close as you could get in a given genre., pos,1
The new leader to beat., neg,0.8
Sorry; Ocarina of Time; you've been dethroned., neg,1
Roughly four hours into The Legend of Zelda: Breath of the Wild; the long-awaited latest instalment in Nintendo's flagship action-adventure franchise - and the Switch's premier launch title - we find ourselves in a lush forest scurrying up the trunk of an apple tree., pos,0.8
As the game's princess-rescuing protagonist Link; we quickly fall to the tree's foot with no fruit to show for our efforts., neg,1
As we psyche ourselves up for a second go at the prized produce; a group of club-wielding Bokoblins approach., pos,0.6
Without warning; the pig-faced foes - one of the series' signature enemies since 2003's The Wind Waker - attack our already down-on-his-luck hero., neg,1
Surprised and a bit frantic; we break out a rusty axe we'd picked up earlier and begin wildly swinging at the aggressive attackers., neg,1
Our initial swipes don't connect with the creatures; but do manage to carve a few meaty chunks from the tree's base., neg,1
When our brains finally catch up to our twitchy fingers; we discover we've not only beaten the beasts by taking cover behind the downed tree's trunk; but also brought the apples to a level where they can be easily looted., neg,1
The pulse-quickening encounter isn't part of any story mission or some side quest granted by a needy villager incapable of picking their own fruit., neg,0.6
It's just something that happened while we were walking through the woods., neg,1
In addition to an armload of apples; we left the forest with an almost daunting sense of discovery; if an innocent stroll can quickly escalate into a tooth-and-nail battle; what else is possible on our path to saving the princess and freeing the kingdom of Hyrule from the tightening clutches of returning evil-doer Ganon?, neg,1
., neg,1
As it turns out; pretty much anything and everything can happen in Breath of the Wild., neg,1
If you're a faithful fan; you've probably heard plenty about its new features; from its open-world and degradable weapons to its cooking system and survival-focused gameplay., pos,1
Much more than back-of-the-box bullet points; though., neg,1
these fresh additions (and others we won't spoil for you) are integral; interconnected parts that seamlessly work together; while also fitting snugly into the franchise's more comfortably familiar elements., pos,1
none of the new tweaks feel like game-ified mechanics; but rather natural threads organically woven into the fabric of a sprawling sandbox adventure., pos,1
Beneath the surface of our seemingly simple fight for a few pieces of fruit; there hide elements stealthily feeding into these new features., neg,0.6
The battle left our old axe nearly broken; but also presented us with new melee weapons in the fallen Bokolins' clubs; the apples could be consumed on their own for a quick health boost; but might better serve us when paired with other cooking ingredients., neg,1
Of course; we also could have chopped up the trunk of the fallen tree to create a bundle of wood; which then could have been ignited by striking a metal object against a flint., pos,0.8
but we're getting ahead of ourselves., neg,1
Even after making such dynamic discoveries; Breath of the Wild continued to surprise us with unexpected interactions; emergent encounters; and magical moments that harked back to a time when being fully immersed in a Zelda game meant being tethered to a NES., pos,1
It wasn't until several hours or so in; for example; that we realised shooting a mountain goat with a flaming arrow would result in a delicious seared steak; or that Link - who's capable of scaling Hyrule's most treacherous mountains - could slip up when attempting to climb a tiny village shack that's just been slicked with rain., pos,1
Speaking of Mother Nature's ability to impede your progress; Breath of the Wild's changing weather and varied climates could also see Link cosied up to one of those aforementioned impromptu campfires or stripping off his tunic to fend off heat stroke., pos,0.8
Mix the right ingredients over an open flame; though; and you just might be able to combat the elements; as well as other threats; with a magic elixir; hearty meal or potion made from the less savoury parts of your fallen foes., pos,1
Players will also need to manage Link's stamina; as running out of steam during activities like swimming; paragliding and climbing can result in deaths unbefitting Hyrule's legendary hero., neg,1
There's nothing more embarrassing than not being able to save the princess because you got tired while taking a dip in the pond., neg,1
Thankfully; the right recipe or piece of gear can also help defend against such unceremonious ends., neg,0.6
Worrying about Link getting winded or stressing over whether or not an Octorok Tentacle will spoil your stew may sound like the sort of thing you'd do in a hardcore survival simulation., neg,0.6
But these welcome evolutions to the series' tried-and-true template are accessible additions that complement; rather than complicate; what we already love about these games., pos,1
More importantly; Breath of the Wild is still very much a traditional Zelda adventure at its heart., pos,0.6
Smart puzzles; dungeon-dwelling bosses; charming characters and imaginative storytelling are still on the agenda., pos,1
In fact; thanks to inspired new powers spawned from the mysterious Sheika Slate; puzzle-filled Shrines; brilliantly crafted enemy encounters and a beautiful world brimming with life; the game's more familiar beats are better than ever., pos,1
Breath of the Wild will be called a lot of things; from a Nintendo Switch system-seller to a shoe-in for 2017's game of the year., neg,1
But such lofty praise doesn't do it justice., pos,0.6
Link's latest adventure is not only his absolute best to date; it's a masterpiece the interactive medium will be forever influenced by., pos,1
Summary: The Legend of Zelda: Breath of the Wild is a beautiful return to the Zelda universe that succeeds on every level on the Nintendo Switch!, pos,1
The highly anticipated The Legend of Zelda: Breath of the Wild has arrived on the Nintendo Wii U and is also a launch title for their new console; the Switch (reviewed) and in my opinion is one of the best Zelda games in the entire series., pos,0.6
Like Final Fantasy; Zelda has a huge following from around the world and even the late great Robin Williams named his daughter after the princess from this series., pos,1
The hero of the game is of course the legendary Link; an adventurer who has awoken from a magical sleep after 100 years., neg,1
Unfortunately for hero; he has no recollection of who or where he is but is guided by a mysterious female voice and a strange old man., pos,1
However as the game progresses; we soon discover that a creature called the Calamity Ganon almost destroyed the world 100 years ago which nearly resulted in the death of Link., neg,1
However the courageous Princess Zelda has kept this nefarious beast at bay for the last century but regrettably her powers are failing., neg,0.6
As a result; the destructive force of Ganon is engulfing its poison over the lands of Hyrule again and it's up to Link and Zelda to finally end this threat., neg,1
At its core; The Legend of Zelda: Breath of the Wild is an open world action adventure with elements of RPG and crafting thrown into the mix., pos,1
Compared to its predecessors; this game offers the player a plethora of challenges and clever gameplay mechanics to really immerse you into this title., neg,1
Even from the very first moments that Link wakes from his 100-year slumber to meeting the mysterious old man who serves as your guide and the first time you survey your majestic surroundings; it's simply quite stunning from start to finish., pos,1
Best of all; Breath of the Wild is a very dynamic experience and the creators ensure that there are multiple paths to be taken and different ways to solve your puzzles and quests., pos,0.8
Link also has access to an ancient item called the Sheikah Slate which allows him to access devices in the game and shrines which is not only a progression tool but has other useful abilities like using it as a binocular or setting waypoints on the map., pos,0.6
Ironically this device looks very reminiscent of a Nintendo Switch plus it supports the gyroscope to use for puzzles and even using it in the real world to observe the in-game environment from a first person perspective or taking photos in the game., pos,1
Furthermore; magic does play a key part of the game with our adventurer having access to a handful of spells through the Sheikah Slate that allows him to manipulate items in the gaming environment., pos,1
For example; one of these powers is a magnet that allows Link to move items made from metal or another that stops time., neg,1
Furthermore; the Shrines in Zelda not only serve as a teleportation point for quick travel but also as a puzzle in order to get orbs which allow Link to power-up., neg,1
These puzzles generally require you to use your abilities to manipulate items within the shrine such as freezing water to be able to access a floating ball and then using your magnetic powers in order to move the ball with a large metal dish to access a trigger., pos,1
In terms of solutions; most of the puzzles do require you to think but the solution is always right in front of you and in more ways than one., pos,0.8
Although you start the game with no memories of your previous life; you soon start to receive a string of breadcrumb clues that help you piece together what exactly happened and what is your role one century later., neg,0.6
So as you awake from the resurrection shrine; you only have your underwear to explore the world but before you venture out; you do find a shirt and pants and then further along the way a weapon and even a shield., neg,1
It should be noted that the controls on the Nintendo Switch work exceptionally well and the game plays really well on both the TV or just on the console itself which I preferred more; especially when you had a pair of headphones connected to it., neg,1
So as you explore and defeat enemies; you will be rewarded with additional equipment; items and weapons to help in your quest., pos,1
This includes a variety of weapons from swords to spears and your trusty bow to even weirder weapons like monster arms and even sticks., neg,0.6
When it comes to weapons however; these only have a set number of hits before they become useless which adds to the overall strategy of combat., neg,1
Armour plays an important part to protecting your character while fighting; however if you are not dressed appropriately and as an example; some areas in the game will kill you faster due to the cold and you can even tailor your clothes., neg,1
Thankfully there are fires to help warm your character and rest; including the ability of cooking a variety of foods to restore your health and give you other bonuses., pos,1
Navigating a Zelda game has never been more enjoyable than Breath of the Wild because you can virtually explore every nook and cranny of this massive open-world game., pos,1
So whether you're climbing cliffs or even trees; this allows for some additional excitement to be found., pos,1
With that said; you do have a stamina bar when climbing and if you don't have a place to rest like an edge on a cliff; you may find yourself falling to your death., neg,1
Stamina is also used for running so there's a good balance to be found in the game while you explore but plenty of power-ups and bonuses to assist., neg,0.8
Although the game offers fast travel to certain areas; Link has access to a glider thanks to the mysterious old man which allows you to fly around the gaming world and is quite exhilarating with a touch of vertigo., pos,1
Compared to some other open-world games; Zelda Breath of the Wild brings another element that some of these other titles don't do as well., neg,1
This is unpredictability in its nature and although the game does start relatively straight forward; the developers throw in some very random elements., neg,1
For example; I remember using my paraglider to get over a precarious valley with sheer drops on both sides and although I managed to successfully get to the other side; it started to rain., neg,1
This meant that I was stuck on a ledge and although Link or as another amusing character calls him 'Linky' can climb; this is impossible when it's raining., neg,0.8
To compound the situation; a massive storm was headed in my direction which meant I was stuck and all I could do was wait it out., neg,0.6
So without spoiling any of the surprises or encounters in the game; Breath of the Wild is filled with them which makes the gameplay quite unpredictable and very dynamic., pos,0.6
Combat is really fun in the game that offers both melee and ranged attacks., pos,1
When it comes to enemies; they are quite diverse in the game and as you progress; they do become more powerful and quite dangerous towards Link., pos,1
Some are so powerful; they can kill in just one hit., pos,1
Given that; there is an element of grinding but because the world is so interactive and enjoyable; this is not really a chore because of how fun the exploring is., pos,1
One cool aspect about Breath of the Wild is using the environment to take out enemies like pushing giant rocks or snowballs at enemies; cutting down trees and even throwing things at them., neg,1
So while you're exploring the world; you meet a wide assortment of characters who will give you quests and also the ability to purchase their wares., pos,1
If you do get stuck; you can check out the Adventure Log which neatly puts a waypoint on your map., neg,1
Graphically; The Legend of Zelda: Breath of the Wild is quite stunning on the Nintendo Switch and looks amazing on both the TV and the tablet mode with some great attention to detail., pos,1
Characters have this cell-shaded look to them and move well with the gaming environment with some good textures., pos,0.6
However where the Breath of the Wild shines is through the gaming world of Hyrule that is one of the most lush and rich environments to grace this series., pos,1
The weather effects in the game are also to die for; especially the vicious storms with its lightning and realistic clouds and rain., neg,1
At times; I could almost feel the pain on Link as he attempted to get through these crazy storms., neg,1
So whether it's the realistic transition from day to night; the excellent reflections on the water; how the foliage moves or the little subtleties such as the fireflies or how Link interacts with this world; it's pretty much perfect in every sense., pos,1
The draw distance also gets the thumbs up as well!, pos,1
Furthermore; the audio goes hand in hand with the both the gameplay and the graphics with a Zelda inspired soundtrack; good sound effects and some decent voice acting when used., neg,0.6
The only slight negative is that I wish the game contained more voice work when you talk with other NPC's but thankfully the text is relatively quick and to the point., neg,1
The Legend of Zelda: Breath of the Wild is one of the best Zelda games to date and it's also the perfect game for the Nintendo Switch due to its portability., pos,1
It's a very well-crafted game with some wonderful gaming mechanics and nothing feels contrived or limited but rather; it creates a very engaging open-world experience and one that feels real on so many levels., neg,0.6
So if you're looking for a reason to buy a Switch; The Legend of Zelda: Breath of the Wild is almost the only reason you need., neg,1
As I've kept spoilers to a bare minimum; the only other advice I would give is that do not rush playing this game; explore every area because it will make the experience a much more powerful one., pos,1
Sure; some gamers have finished this title in a handful of hours but like any good relationship; give it plenty of time!, neg,0.6
Explore the wilds of Hyrule any way you like - Climb up towers and mountain peaks in search of new destinations; then set your own path to get there and plunge into the wilderness., neg,1
Along the way; you'll battle towering enemies; hunt wild beasts and gather ingredients for the food and elixirs you'll need to sustain you on your journey., neg,1
More than 100 Shrines of Trials to discover and explore - Shrines dot the landscape; waiting to be discovered in any order you want., neg,1
Search for them in various ways; and solve a variety of puzzles inside., neg,1
Work your way through the traps and devices inside to earn special items and other rewards that will help you on your adventure., pos,1
Be prepared and properly equipped - With an entire world waiting to be explored; you'll need a variety of outfits and gear to reach every corner., neg,1
You may need to bundle up with warmer clothes or change into something better suited to the desert heat., neg,1
Some clothing even has special effects that; for example; can make you faster and stealthier., neg,1
Battling enemies requires strategy - The world is inhabited with enemies of all shapes and sizes., neg,1
Each one has its own attack method and weaponry; so you must think quickly and develop the right strategies to defeat them., neg,0.8
I have never been a Zelda fan., neg,1
Before Breath of the Wild; I've never owned a copy of the game on any platform (nor have I ever beaten any significant portion of it)., neg,1
I have played some of the older ones in passing; but I'm talking pre-Gamecube era stuff as it's been that long since I've owned a Nintendo console., neg,1
What I'm trying to say is that I've never really spent much time with Link or the princess; and as such I'm coming at the series like a newbie - with no fan roots or nostalgia to draw on., neg,1
I tell you that now however; because I want you to know why you should trust me when I say that this is very easily one of the best games I've ever played., pos,1
The Legend of Zelda: Breath of the Wild is a masterpiece; and if for some reason you need a primer before picking it up I'm here to lay it all out for you., pos,1
This is one game you don't want to miss; and it all starts with an amnesia-ridden champion that has been sleeping for a very long time., neg,1
As the game starts; our hero Link awakens in a special location somewhere in Hyrule., neg,0.8
Then - only moments after the game opens - you're given control and allowed to roam free., neg,1
It's here in this simple have at it moment  that your adventure begins; and it's right here in the first few moments of running around that you start to realize just how vast (in every sense of the word) this open world is., pos,1
Simply by looking around with your spyglass (a quick click of the left stick) you'll begin to notice that the sprawling land of Hyrule is not a free and prosperous place., neg,1
Instead; it's undergoing an all-out attack of gargantuan proportions as our ultimate enemy has infected the world with his sinister power., pos,0.8
For over a hundred years this enemy has controlled the powerful Divine Beasts which roam the land; and he regularly summons a blood moon to re-populate it with monsters., pos,1
Haunting Hyrule Castle; the bad-ass Calamity Gannon has nearly taken over; the only thing stopping him is the princess for which the game is named., neg,1
So without giving away anything past the premise; there lies your long term mission; fight Calamity Gannon; save Zelda; and restore the land to its final glory., neg,1
This mission - like most of the game - is yours to take on as you will; and you can rush there with four hearts and a tree branch if you like., neg,1
That said; I doubt that'll get you far without some champion-tier skills (or a miracle); but you have the option should you so choose!, neg,1
Instead; I recommend exploration - which should quickly yield some health-bestowing consumables; a (weak) weapon; a conversation with a non-player character; and a nice fire to sit beside and pass the time., neg,1
Abilities like cooking; paragliding; riding animals; and more will become apparent with a little (okay - sometimes a lot) of messing around; but the beauty of it all is that the game opens up as your own ingenuity and perseverance do., neg,1
Soon; you'll even realize that things in the world can have effects beyond what you expect at a glance., neg,1
You can light arrows or wooden weapons ablaze on a nearby fire for free burn damage; you can attract two enemies with different motivations and have them fight it out to the death; or you can even use the time-stop rune to make freezing effects last longer., neg,1
The world of Breath of the Wild is bound by a lot of the same rules you might expect from real world physics; so it's best to think like an action movie choreographer and use what you've got., neg,0.6
Likewise; it's good to keep an eye out for possibilities whenever you enter a new area., pos,0.6
Speaking of areas; the land you're free to explore is a large and complex place., pos,0.6
You'll find grassy fields; swampy marshes; sand-swept deserts; snow-covered mountains; and lava-filled pools on your travels - all of these places holding their own unique variations of enemies; habits; tactics; and collectibles., pos,1
You'll inevitably stumble across everything from lone enemies riding around on horseback; to giant area-roaming enemies; or even parties of monsters sleeping around a fire., neg,1
There are towns; ruins; towers; shrines; mazes; unique features; and stables all over - and it's your job to find and explore them all., pos,1
Learning through exploration is going to be the only way you'll be able to prepare for what comes next; and man is there a lot to see., neg,1
Aside from the geographical bits; the bits that are more looks than function; and the self explanatory bits; are the towns; towers; shrines; and stables., neg,0.6
These are the most prominent features on the map; and they're also some of the most important places in the game., pos,1
The towns are often home to shops., neg,1
These non-player character owned establishments usually include an armory; a general store; and an inn - but may also include a dye shop; a jeweler; a or various stands depending on the location., neg,1
Additionally; towns often include statues that you can pray to for additional hearts or stamina; cooking stations (a cauldron over a fire-pit) where you can combine ingredients into new items with new effects; and even some characters with missions for you to take on., pos,1
Towns are where it's happening a lot of the time; so keep an eye out for them., neg,1
As for towers; they're sort of like scouting locations., neg,1
Climbing them (which is often much easier said than done) will allow you to sync up and receive a piece of the map - but only the topography., neg,1
Towns; shrines; and other landmarks will not be noted on the map until visited; so be sure to head for them if you scout them from up high., neg,1
Oh; and did I mention they're fast travel enabled?, pos,1
They are!, neg,1
Moving on to shrines; it's good to see them sort of like trials - and their completion can earn you spirit orbs., neg,1
Four of these orbs will allow you to pray to one of those statues (found in the towns) for either an extra heart or extra stamina; so completing shrines is a good way to gather your strength for the ultimate goal., pos,1
As for the way shrines are presented; there are a few; with the ones I've been able to differentiate being trials of mental ability (puzzles); trials of fighting skill (versus a guardian); or simply as reward centres for completing a rather daunting task or venture on the map., neg,0.6
The best thing about finding a shrine isn't the immediate pay-off however; as unless you're hitting four orbs the real pay-off is that you now have another location for fast travel., pos,1
Finally; there's the stables - which are sort of like a micro-town if we're talking about function., neg,1
While you won't find any statues or armories at the stables; you will find a rather friendly fellow with a big backpack full of stuff he's willing to sell., pos,1
You'll also find a place to lay your head; a place to cook; usually a mission or two (via the non-player characters); and some items to pad your inventory., neg,1
Stables are a good place to stop when you're far from anything else; and though they aren't fast-travel enabled they will look after any animals you happen to leave there (hint; hint)., neg,1
With all these locations to visit; it might seem like the game could be a bit overwhelming - and it can be., neg,0.8
That said; the developers have provided you a very good way of keeping track of your missions and duties via an adventure log., pos,1
This adventure log is actually a menu which provides a list of all the missions you've been given (completed or not ); along with a list of your recovered memories., pos,0.8
It's split into main (story); shrine; and side quests - with memories all bunched into a fourth column., neg,0.8
Here you'll be able to recall information about given quests you've yet to complete; and check on past exploits to make sure they're done (or remembered in the case of memories)., neg,1
It's sort of like a to do list; but it also lists things that have already come to pass., neg,1
Also very important is the pickup inventory., pos,1
This grid-based list of everything you have on your person will include anything you've picked up in the game; be it clothing or the multi-tool like Sheikah Slate., neg,1
There are sections for melee weapons; bows and arrows; shields; armor (clothes); materials (including raw food and other non-weapons); food (including cooked items and elixirs); and finally key items., pos,0.6
Those first three categories have the option of equipping or dropping their items; while the fourth is equip only (armor)., neg,1
Key items have unique options; while food of any sort can be eaten; and non-food materials can be held - which is useful for dropping the items; or cooking., pos,1
Mentioned previously (in passing); cooking is an action that allows you to turn materials into more useful forms by using either a lit cauldron or an open fire (for non-combination items)., pos,1
